"","num_hrefs","num_imgs","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_max_min","kw_avg_min","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_saturday","LDA_00","LDA_02","LDA_03","global_subjectivity","rate_positive_words","popularity"
"1",24,1,0,0,1,710,251.666666667,227470,0,3578.49308671,2075.43165141,860,934,909.333333333,0,0.0200000571832,0.819649795728,0.0200045667299,0.427432437247,0.7,"1"
"2",4,0,0,0,0,973,333.625,187825,1685.75,5050.90625,3543.17660214,6600,6600,6600,0,0.0254869210458,0.229199676418,0.0256390163155,0.50077457265,0.6875,"1"
"3",16,1,0,0,1,653,244.6,213920,1481.85781991,3532.98824368,2233.20002894,742,1400,1071,1,0.040003116112,0.839994660945,0.0400000363312,0.329325068871,0.473684210526,"1"
"4",85,48,1,0,0,774,325.833333333,171300,1532.90909091,5025.9375,3359.49061131,309,53100,6612.5,0,0.0343572252351,0.86401255863,0.0346020402463,0.563752734131,0.709523809524,"2"
"5",6,1,0,1,0,302,245.333333333,183100,0,3302.7047047,2434.86022716,1200,2500,1850,0,0.0500041186003,0.0500036246956,0.0500028639648,0.468095238095,0.5,"2"
"6",7,1,0,1,0,716,192.75,318340,0,3575.51829103,2138.51579279,716,5400,2679,0,0.0400100823779,0.0400074819396,0.437672083123,0.407611832612,0.722222222222,"2"
"7",7,3,0,0,1,533,230.875,232237.5,2170.37312187,7031.64705882,3224.46852211,1100,20400,7966.66666667,0,0.0250003467992,0.592218817402,0.0250313772375,0.486855807744,0.543209876543,"3"
"8",5,0,0,0,0,542,129.259,394590,974.375,6790.65422078,3690.4768521,721,1200,961.666666667,0,0.0200132828951,0.0200005088491,0.634094020953,0.579478609626,0.705882352941,"1"
"9",8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0285744314891,0.485075401332,0.0285726982603,0.564637445887,0.653846153846,"2"
"10",4,1,0,1,0,343,273.75,25760,0,2869.34013605,1781.32974752,0,0,0,0,0.0421705344232,0.0400150990939,0.0400080159873,0.473732220161,0.685714285714,"2"
