"","feature1","feature2","feature3","feature4"
"1",4,1,1,-3
"2",2,-2,7,3
"3",1,-3,3,-1
"4",5,2,4,0
"5",5,2,4,0
"6",5,2,6,2
"7",5,2,7,3
"8",1,-3,7,3
"9",2,-2,2,-2
"10",4,1,1,-3
"11",2,-2,6,2
"12",3,-1,6,2
"13",5,2,1,-3
"14",0,0,4,0
"15",5,2,1,-3
"16",0,0,7,3
"17",5,2,7,3
"18",0,0,3,-1
"19",1,-3,3,-1
"20",2,-2,7,3
"21",2,-2,1,-3
"22",4,1,3,-1
"23",6,6,1,-3
"24",2,-2,6,2
"25",1,-3,2,-2
"26",2,-2,3,-1
"27",4,1,3,-1
"28",3,-1,2,-2
"29",3,-1,2,-2
"30",1,-3,2,-2
"31",3,-1,3,-1
"32",5,2,1,-3
"33",5,2,7,3
"34",2,-2,5,1
"35",5,2,4,0
"36",0,0,3,-1
"37",1,-3,1,-3
"38",2,-2,5,1
"39",3,-1,4,0
"40",0,0,2,-2
"41",6,6,6,2
"42",3,-1,2,-2
"43",6,6,5,1
"44",2,-2,6,2
"45",1,-3,7,3
"46",3,-1,4,0
"47",4,1,2,-2
"48",3,-1,2,-2
"49",4,1,2,-2
"50",6,6,2,-2
"51",1,-3,4,0
"52",0,0,1,-3
"53",5,2,7,3
"54",4,1,1,-3
"55",2,-2,6,2
"56",5,2,2,-2
"57",4,1,2,-2
"58",4,1,7,3
"59",4,1,2,-2
"60",2,-2,7,3
"61",1,-3,2,-2
"62",3,-1,7,3
"63",1,-3,1,-3
"64",1,-3,2,-2
"65",5,2,3,-1
"66",2,-2,7,3
"67",0,0,2,-2
"68",5,2,6,2
"69",2,-2,7,3
"70",3,-1,7,3
"71",1,-3,2,-2
"72",3,-1,1,-3
"73",6,6,2,-2
"74",0,0,7,3
"75",4,1,6,2
"76",0,0,6,2
"77",6,6,6,2
"78",2,-2,6,2
"79",1,-3,7,3
"80",1,-3,1,-3
"81",5,2,4,0
"82",2,-2,3,-1
"83",1,-3,3,-1
"84",4,1,3,-1
"85",1,-3,6,2
"86",2,-2,7,3
"87",1,-3,2,-2
"88",5,2,1,-3
"89",6,6,3,-1
"90",3,-1,6,2
"91",5,2,2,-2
"92",2,-2,4,0
"93",0,0,3,-1
"94",5,2,1,-3
"95",1,-3,1,-3
"96",3,-1,4,0
"97",5,2,2,-2
"98",1,-3,3,-1
"99",4,1,1,-3
"100",0,0,7,3
"101",2,-2,2,-2
"102",2,-2,7,3
"103",0,0,2,-2
"104",2,-2,5,1
"105",2,-2,3,-1
"106",1,-3,1,-3
"107",6,6,4,0
"108",1,-3,2,-2
"109",5,2,7,3
"110",4,1,3,-1
"111",2,-2,1,-3
"112",3,-1,7,3
"113",3,-1,4,0
"114",6,6,2,-2
"115",5,2,1,-3
"116",2,-2,4,0
"117",3,-1,3,-1
"118",2,-2,4,0
"119",1,-3,1,-3
"120",3,-1,4,0
"121",2,-2,4,0
"122",3,-1,2,-2
"123",0,0,4,0
"124",0,0,1,-3
"125",1,-3,2,-2
"126",1,-3,1,-3
"127",2,-2,7,3
"128",0,0,4,0
"129",2,-2,1,-3
"130",3,-1,1,-3
"131",0,0,2,-2
"132",3,-1,7,3
"133",0,0,7,3
"134",5,2,2,-2
"135",1,-3,4,0
"136",2,-2,4,0
"137",5,2,3,-1
"138",3,-1,2,-2
"139",5,2,3,-1
"140",3,-1,1,-3
"141",6,6,4,0
"142",2,-2,4,0
"143",1,-3,2,-2
"144",2,-2,5,1
"145",1,-3,5,1
"146",0,0,2,-2
"147",6,6,7,3
"148",5,2,4,0
"149",6,6,5,1
"150",4,1,4,0
"151",1,-3,2,-2
"152",5,2,2,-2
"153",5,2,4,0
"154",2,-2,7,3
"155",0,0,4,0
"156",0,0,1,-3
"157",5,2,3,-1
"158",0,0,3,-1
"159",1,-3,6,2
"160",6,6,6,2
"161",2,-2,4,0
"162",5,2,4,0
"163",5,2,1,-3
"164",0,0,7,3
"165",5,2,2,-2
"166",2,-2,4,0
"167",3,-1,2,-2
"168",5,2,4,0
"169",3,-1,1,-3
"170",2,-2,2,-2
"171",2,-2,2,-2
"172",6,6,7,3
"173",2,-2,7,3
"174",6,6,6,2
"175",1,-3,2,-2
"176",3,-1,1,-3
"177",5,2,2,-2
"178",3,-1,1,-3
"179",0,0,3,-1
"180",5,2,3,-1
"181",5,2,2,-2
"182",3,-1,2,-2
"183",0,0,1,-3
"184",5,2,2,-2
"185",3,-1,1,-3
"186",3,-1,4,0
"187",4,1,4,0
"188",0,0,3,-1
"189",2,-2,2,-2
"190",5,2,7,3
"191",2,-2,2,-2
"192",2,-2,5,1
"193",1,-3,4,0
"194",2,-2,1,-3
"195",1,-3,2,-2
"196",5,2,2,-2
"197",3,-1,2,-2
"198",2,-2,4,0
"199",0,0,7,3
"200",3,-1,2,-2
"201",1,-3,3,-1
"202",3,-1,3,-1
"203",6,6,2,-2
"204",3,-1,4,0
"205",1,-3,1,-3
"206",3,-1,7,3
"207",2,-2,4,0
"208",2,-2,7,3
"209",3,-1,3,-1
"210",3,-1,4,0
"211",1,-3,7,3
"212",2,-2,4,0
"213",2,-2,2,-2
"214",2,-2,2,-2
"215",3,-1,4,0
"216",2,-2,1,-3
"217",0,0,2,-2
"218",1,-3,4,0
"219",6,6,2,-2
"220",2,-2,5,1
"221",5,2,7,3
"222",5,2,7,3
"223",2,-2,3,-1
"224",2,-2,2,-2
"225",6,6,3,-1
"226",6,6,3,-1
"227",2,-2,1,-3
"228",2,-2,1,-3
"229",2,-2,3,-1
"230",0,0,4,0
"231",2,-2,7,3
"232",4,1,7,3
"233",2,-2,3,-1
"234",3,-1,7,3
"235",3,-1,4,0
"236",3,-1,1,-3
"237",1,-3,1,-3
"238",1,-3,7,3
"239",4,1,1,-3
"240",0,0,2,-2
"241",0,0,2,-2
"242",0,0,4,0
"243",5,2,4,0
"244",2,-2,4,0
"245",3,-1,1,-3
"246",5,2,4,0
"247",4,1,3,-1
"248",3,-1,6,2
"249",0,0,2,-2
